Sample Unnamed: 0_level_1	Sequenced_Read-pair Unnamed: 1_level_1	Mapped_Read-pair Count	Mapped_Read-pair Percentage	Nonclonal_Read-pair Count	Nonclonal_Read-pair Percentage	cis<1kb Count	cis<1kb Percentage	cis>1kb Count	cis>1kb Percentage	trans Count	trans Percentage	mCCC/CCC Unnamed: 12_level_1	mCG/CG Unnamed: 13_level_1	mCH/CH Unnamed: 14_level_1	Estimated mCG/CG Unnamed: 15_level_1	id	batch	cell_type
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B8_AD004	1683570	951828	0.5653628895739411	778851	0.818268636770509	645936	0.8293	90182	0.1158	42733	0.0549	0.01608	0.7904	0.0574	0.78697	181218_21yr_2_B8_AD004	181218_21yr	L5
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B8_AD006	1939787	1094938	0.5644630054743124	898869	0.8209314134681598	740182	0.8235	108881	0.1211	49806	0.0554	0.01508	0.80771	0.04836	0.80477	181218_21yr_2_B8_AD006	181218_21yr	Vip
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B8_AD007	1604762	930510	0.5798429922941845	758442	0.8150820517780571	653715	0.8619	71079	0.0937	33648	0.0444	0.01842	0.76807	0.07465	0.76372	181218_21yr_2_B8_AD007	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B8_AD010	1140852	629117	0.5514448850508217	515800	0.8198792911334458	427802	0.8294	61335	0.1189	26663	0.0517	0.01162	0.73528	0.03777	0.73217	181218_21yr_2_B8_AD010	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B8_AD012	1732870	959573	0.5537478287465303	783047	0.8160369247571576	672094	0.8583	71473	0.0913	39480	0.0504	0.01329	0.81022	0.05147	0.80766	181218_21yr_2_B8_AD012	181218_21yr	Pvalb
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B9_AD004	1328140	747131	0.5625393407321517	651452	0.871938120624094	553619	0.8498	59984	0.0921	37849	0.0581	0.02468	0.7676	0.05383	0.76172	181218_21yr_2_B9_AD004	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B9_AD007	1268776	694147	0.5470997244588486	602998	0.8686891969568405	497369	0.8248	72844	0.1208	32785	0.0544	0.02046	0.79294	0.07548	0.78862	181218_21yr_2_B9_AD007	181218_21yr	L5
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B9_AD008	1172786	639659	0.5454183457169509	557332	0.8712954871267347	457889	0.8216	68848	0.1235	30595	0.0549	0.01394	0.75389	0.03794	0.75041	181218_21yr_2_B9_AD008	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B9_AD010	1180656	661678	0.5604325053190768	574905	0.8688591731930032	492679	0.857	55293	0.0962	26933	0.0468	0.01887	0.77531	0.07033	0.77099	181218_21yr_2_B9_AD010	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B9_AD012	1235302	673899	0.5455338046890558	586176	0.8698276744734745	476785	0.8134	72263	0.1233	37128	0.0633	0.01385	0.8083	0.03953	0.80561	181218_21yr_2_B9_AD012	181218_21yr	Ndnf
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C1_AD001	478571	259538	0.5423186946137564	244824	0.9433069531243979	196673	0.8033	33486	0.1368	14665	0.0599	0.01573	0.76955	0.04981	0.76587	181218_21yr_2_C1_AD001	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C1_AD002	577078	312559	0.5416234893723205	294804	0.943194724835951	231135	0.784	41031	0.1392	22638	0.0768	0.00997	0.77934	0.01951	0.77712	181218_21yr_2_C1_AD002	181218_21yr	Astro
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C1_AD004	714583	395201	0.5530512200822018	372017	0.941336180829502	302301	0.8126	48070	0.1292	21646	0.0582	0.01516	0.7588	0.04014	0.75509	181218_21yr_2_C1_AD004	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C1_AD006	672045	378552	0.5632837086802223	356836	0.9426340370675627	300005	0.8407	33824	0.0948	23007	0.0645	0.01272	0.80015	0.03765	0.79758	181218_21yr_2_C1_AD006	181218_21yr	Ndnf
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_C1_AD007	699281	386288	0.5524074013164951	363439	0.9408498322495134	295711	0.8136	46486	0.1279	21242	0.0584	0.01623	0.77674	0.05019	0.77306	181218_21yr_2_C1_AD007	181218_21yr	L4
